127.0.0.1 - - [05/Sep/2022:15:44:41 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/vpn HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:27 +0545] "GET /Bug_Tracking_System/BugImages/Nepal HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:36 +0545] "GET /Bug_Tracking_System/ViewBugs.jsp HTTP/1.1" 200 9239
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:42 +0545] "GET /Bug_Tracking_System/ViewSolution.jsp?bugid=50 HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:45 +0545] "GET /Bug_Tracking_System/Logout.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:46 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:56 +0545] "GET /Bug_Tracking_System/Login?userid=tester&password=tester&login=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:58:56 +0545] "GET /Bug_Tracking_System/TesterHome.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:59:00 +0545] "GET /Bug_Tracking_System/AssignBug.jsp?cat=Tester HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:59:08 +0545] "GET /Bug_Tracking_System/ViewBugs1.jsp?cat=Tester HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:59:13 +0545] "GET /Bug_Tracking_System/UpdateBug1.jsp?bugid=38 HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [05/Sep/2022:23:59:22 +0545] "POST /Bug_Tracking_System/UpdateBugReport1 HTTP/1.1" 500 1238
